tag,child,type,repeat,optional,translation,note,user-facing-label
,@countrycode,CDATA,,,,,
,@mainagency,CDATA,,,,,
,@url,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
editionstmt,,,FALSE,,,,Edition of this Guide
,p,p,,,,,
,,,,,,,
emph,,,TRUE,,emphasis,,
,@render,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
event,NA,NA,NA,NA,,,
,title,title,FALSE,,,,
,emph,emph,TRUE,,,,
,CDATA,CDATA,FALSE,,,,
,,,,,,,
eventgrp,NA,NA,NA,NA,,,
,CDATA,FALSE,,,,,
,eventgrp,TRUE,,,,,
,,,,,,,
extent,,,TRUE,,,,
,CDATA,,,,,,
,,,,,,,
extptr,,,TRUE,,,,
,@xlink:href,CDATA,,,,,
,@xlink:show,CDATA,,,,,
,@xlink:title,CDATA,,,,,
,@xlink:type,CDATA,,,,,
,,,,,,,
extref,,,,,,,
,@xlink:href,CDATA,TRUE,,,,
,@xlink:show,CDATA,,,,,
,@xlink:title,CDATA,,,,,
,@xlink:type,CDATA,,,,,
,,,,,,,
famname,,,TRUE,,,,Families
,@rules,CDATA,,,,,
,@source,CDATA,,,,,
,CDATA,,,,,,
,,,,,,,
filedesc,,,FALSE,,,,
,editionstmt,editionstmt,,,,,Edition of this Guide
,notestmt,formattednotewithhead,,,,,
,publicationstmt,publicationstmt,,,,,
,titlestmt,titlestmt,,,,,
,,,,,,,
formattednotewithhead,NA,NA,NA,,,,
,@id,CDATA,,,,,
,head,head,,,,,
,p,p,,,,,
,chronlist,chronlist,FALSE,,,,
,list,list,TRUE,FALSE,,,
,defitem,defitem,TRUE,FALSE,,,
,,,,,,,
head,,,FALSE,,,,
,emph,emph,,,,,
,extptr,extptr,,,,,
,CDATA,,,,,,
,,,,,,,
item,,,TRUE,,,,
,CDATA,,,,,,
,emph,emph,TRUE,,,,
,,,,,,,
langmaterial,NA,NA,NA,,,,Language of Materials
,@id,CDATA,,,,,
,language,language,FALSE,,,,
,emph,emph,TRUE,,,,
,CDATA,,,,,,
,,,,,,,
language,,,TRUE,,,,
,@langcode,,,,,,
,@scriptcode,CDATA,,,,,
,CDATA,language,,,,,
,,,,,,,
,,,,,,,
langusage,,,FALSE,,,,
,@langcode,CDATA,,,,,
,@encodinganalog,CDATA,,,,,
,,,,,,,
